,id,year,prod,ce,fiscal,emp,fert,mach,pest,area,eco,water
236,19,2010,1668.66,0.391387865,325.02,1468.25,237.3,2345.3,104382,4524.5,97,227.47
237,20,2010,1339.58,0.214188637,260.26,1556.9,237.2,2767.7,64460,5896.9,326,194.57
238,21,2010,337.89,0.231269199,87.68,205.29,46.4,425.2,45502,833.7,43,33.88
239,22,2010,600.03,0.132362118,159.18,626.12,91.8,1071.1,20854,3359.4,319,19.84
240,23,2010,2059.33,0.252497648,401.76,2131.01,248,3155.1,62184,9478.8,675,127.26
241,24,2010,587.68,0.138061632,246.76,1188.27,86.5,1730.3,12938,4889.1,113,50.05
242,25,2010,915.05,0.151670676,327.21,1649.46,184.6,2411.1,46191,6437.3,896,95.32
243,26,2010,46.14,1.427349281,89.11,91.56,4.7,378.1,1036,240.2,NA,31.72
244,27,2010,1100.71,0.069728713,267.16,850.61,196.8,2000,12408,4185.6,58,55.47
245,28,2010,628.88,0.091865999,196.27,724.82,85.3,1977.6,44565,3995.2,771,94.28
246,29,2010,92.07,0.778952088,69.5,120.99,8.8,421.3,2062,546.9,6,23.19
247,30,2010,192.06,0.088319402,94.23,125.09,37.9,729.1,2640,1247.9,64,65.05
248,31,2010,1386.67,0.086751399,220.5,376.03,167.6,1643.7,18192,4758.6,203,484.64
249,1,2009,146.13,0.441298603,142.01,60.87,13.8,271.5,3981,320.1,127,11.38
250,2,2009,127.86,0.150242328,63.69,75.7,26,595,3805,455.2,83,12.84
251,3,2009,1927.78,0.133146877,264.78,1472.5,316.2,9861.1,86486,8682.5,539,143.91
252,4,2009,548.43,0.040834634,198.47,631.62,104.3,2655,25310,3717.9,676,34.41
253,5,2009,741.45,0.080743462,222.36,528.19,171.4,2891.6,22329,6927.8,342,138.67
254,6,2009,871.56,0.143980292,240.71,661.41,133.6,2142.9,54088,3919.1,291,91.12
255,7,2009,726.02,0.104259389,204.45,495.82,174.2,2001.1,42374,5077.5,519,71.15
256,8,2009,1136.51,0.381932732,192.42,684.1,198.9,3401.3,66843,12129.2,108,237.4
257,9,2009,151,0.215574159,107.45,45.55,12.6,99.2,7289,396.1,29,16.78
258,10,2009,1940.1,0.107744771,403.27,876.31,344,3810.6,92305,7558.2,375,300.12
259,11,2009,867.45,0.117787965,236.08,653.55,93.6,2384,65454,2504.8,33,97.28
260,12,2009,1246.98,0.092190226,259.21,1566.05,312.8,5108.9,110423,9036.2,435,167.22
261,13,2009,776.16,0.185010375,120.89,626.28,120.7,1175,57844,2258,286,100.83
262,14,2009,736.07,0.162802541,203.41,866.39,135.8,3358.9,97593,5376.4,481,157.21
263,15,2009,3170.05,0.184018238,369.35,1984.42,472.9,11080.7,169043,10778.4,693,156.4
264,16,2009,2811.18,0.184990284,361.6,2754.21,628.7,9817.8,121409,14181.4,751,138.1
265,17,2009,1490.91,0.121039824,254.92,965.73,340.3,3057.2,138902,7527.5,412,149.43
266,18,2009,1472.53,0.200490899,276.29,1867.33,231.6,4352.4,115352,8019.3,548,189.25
267,19,2009,1442.4,0.334471132,279.21,1521.76,233.2,2190.2,103716,4476,97,228.71
268,20,2009,1134.98,0.182165007,210.74,1546.94,229.3,2550.9,62182,5826.5,345,195.26
269,21,2009,305.01,0.188424218,83.08,207.47,46.3,396.1,46812,829.4,45,34.03
270,22,2009,517.76,0.107762824,125.42,649.69,91.2,967.4,22004,3308.3,259,19.02
271,23,2009,1816,0.223155537,322.76,2148.07,248,2952.7,61891,9476.6,676,123.64
272,24,2009,501.84,0.121244451,204.13,1207.08,86.5,1606.4,12464,4780.7,111,50.8
273,25,2009,843.38,0.137244578,267.28,1657.83,171.4,2159.4,42567,6343.9,842,103.46
274,26,2009,39.06,1.259367388,84.71,91.19,4.7,358.4,921,235.1,NA,27.45
275,27,2009,834.93,0.061896338,220.72,872.48,181.3,1833,13149,4154.1,123,57.21
276,28,2009,550.56,0.081892697,158.95,732.9,82.9,1822.7,39906,3938.6,641,93.77
277,29,2009,61.31,0.707441511,57.85,120.07,8,388.7,2026,514.1,5,21.61
278,30,2009,145.04,0.080069814,68.68,127.59,35.5,702.6,2389,1226.7,64,65.26
279,31,2009,903.4,0.0898228,196.78,366.18,155,1503.3,18142,4663.8,201,489.39
280,1,2008,128.1,0.389846288,121.77,61.83,13.6,267,3869,322,137,11.35
281,2,2008,120.35,0.157534691,38.54,76.28,25.9,596.6,3807,446.3,77,12.99
282,3,2008,1760.75,0.130321455,151.9,1478.23,312.4,9525.4,85078,8713.2,520,143.23
283,4,2008,467.88,0.040560252,109.69,637.85,103.4,2509.9,23982,3726.5,664,32.92
